E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
acrR, smeT; TetR/AcrR family transcriptional regulator, acrAB operon repressor
hrpA; ATP-dependent helicase HrpA [EC:3.6.4.13]
hrpB; ATP-dependent helicase HrpB [EC:3.6.4.13]
hepA; ATP-dependent helicase HepA [EC:3.6.4.-]
recD; exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]
recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
recC; exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]
recO; DNA repair protein RecO (recombination protein O)
acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system
ftsL; cell division protein FtsL
ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]
ftsW, spoVE; cell division protein FtsW
ftsQ; cell division protein FtsQ
ftsA; cell division protein FtsA
ftsN; cell division protein FtsN
pmbA; PmbA protein
mrp, NUBPL; ATP-binding protein involved in chromosome partitioning
bfr; bacterioferritin [EC:1.16.3.1]
era, ERAL1; GTPase
lepA; GTP-binding protein LepA
rseA; sigma-E factor negative regulatory protein RseA
rseB; sigma-E factor negative regulatory protein RseB
sspA, mglA; stringent starvation protein A
sspB; stringent starvation protein B
xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
xseB; exodeoxyribonuclease VII small subunit [EC:3.1.11.6]
fadR; GntR family transcriptional regulator, negative regulator for fad regulon and positive regulator of fabA
purR; LacI family transcriptional regulator, purine nucleotide synthesis repressor
hyaD, hybD; hydrogenase maturation protease [EC:3.4.23.-]
wcaJ; putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase
proQ; ProP effector
minE; cell division topological specificity factor
minD; septum site-determining protein MinD
minC; septum site-determining protein MinC
dsbB; disulfide bond formation protein DsbB
rnfG; electron transport complex protein RnfG
rnfE; electron transport complex protein RnfE
rnfD; electron transport complex protein RnfD
rnfC; electron transport complex protein RnfC
rnfB; electron transport complex protein RnfB
rnfA; electron transport complex protein RnfA
hyaF; hydrogenase-1 operon protein HyaF
hyaE; hydrogenase-1 operon protein HyaE
hyaC; Ni/Fe-hydrogenase 1 B-type cytochrome subunit
plsX; glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15]
ssh10b; archaea-specific DNA-binding protein
yhcO; ribonuclease inhibitor
greA; transcription elongation factor GreA
nusB; N utilization substance protein B
EGD2, NACA; nascent polypeptide-associated complex subunit alpha
MBF1; putative transcription factor
rho; transcription termination factor Rho
recF; DNA replication and repair protein RecF
radC; DNA repair protein RadC
recN; DNA repair protein RecN (Recombination protein N)
mukB; chromosome partition protein MukB
mukF; chromosome partition protein MukF
lolA; outer membrane lipoprotein carrier protein
MOCS2B, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]
moaD, cysO; sulfur-carrier protein
moaC, CNX3; cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]
moaB; molybdopterin adenylyltransferase [EC:2.7.7.75]
moaA, CNX2; GTP 3',8-cyclase [EC:4.1.99.22]
pal; peptidoglycan-associated lipoprotein
tolB; TolB protein
rlpA; rare lipoprotein A
lptE, rlpB; LPS-assembly lipoprotein
lipA; lipoyl synthase [EC:2.8.1.8]
seqA; negative modulator of initiation of replication
tolA; colicin import membrane protein
nrdI; protein involved in ribonucleotide reduction
UNG, UDG; uracil-DNA glycosylase [EC:3.2.2.27]
mug; double-stranded uracil-DNA glycosylase [EC:3.2.2.28]
mnmE, trmE, MSS1; tRNA modification GTPase [EC:3.6.-.-]
cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]
MPG; DNA-3-methyladenine glycosylase [EC:3.2.2.21]
K03653; N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]
recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]
rep; ATP-dependent DNA helicase Rep [EC:3.6.4.12]
uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
helD; DNA helicase IV [EC:3.6.4.12]
OGG1; N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]
ATPeV0B, ATP6F; V-type H+-transporting ATPase 21kDa proteolipid subunit
ATPeVS1, ATP6S1; V-type H+-transporting ATPase S1 subunit
smpB; SsrA-binding protein
hflX; GTPase
hfq; host factor-I protein
hslU; ATP-dependent HslUV protease ATP-binding subunit HslU
hslJ; heat shock protein HslJ
mdoH; membrane glycosyltransferase [EC:2.4.1.-]
mdoG; periplasmic glucans biosynthesis protein
trxA; thioredoxin 1
trxC; thioredoxin 2 [EC:1.8.1.8]
dsbA; thiol:disulfide interchange protein DsbA
grxA; glutaredoxin 1
grxB; glutaredoxin 2
grxC, GLRX, GLRX2; glutaredoxin 3
RRP45, EXOSC9; exosome complex component RRP45
RRP4, EXOSC2; exosome complex component RRP4
EIF2B4; translation initiation factor eIF-2B subunit delta
RRP40, EXOSC3; exosome complex component RRP40
rnt; ribonuclease T [EC:3.1.13.-]
rnd; ribonuclease D [EC:3.1.13.5]
rnc, DROSHA, RNT1; ribonuclease III [EC:3.1.26.3]
dnaJ; molecular chaperone DnaJ
GRPE; molecular chaperone GrpE
ubiB, aarF; ubiquinone biosynthesis protein
petN; cytochrome b6-f complex subunit 8
ubiJ; ubiquinone biosynthesis protein UbiJ
POFUT; peptide-O-fucosyltransferase [EC:2.4.1.221]
E2.4.1.213; glucosylglycerol-phosphate synthase [EC:2.4.1.213]
pbp1b; penicillin-binding protein 1B
clpA; ATP-dependent Clp protease ATP-binding subunit ClpA
clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
clpC; ATP-dependent Clp protease ATP-binding subunit ClpC
clpE; ATP-dependent Clp protease ATP-binding subunit ClpE
cbf, cbf1; 3'-5' exoribonuclease [EC:3.1.-.-]
tlyC; putative hemolysin
recU; recombination protein U
uvrA; excinuclease ABC subunit A
uvrB; excinuclease ABC subunit B
uvrC; excinuclease ABC subunit C
cspA; cold shock protein (beta-ribbon, CspA family)
hrcA; heat-inducible transcriptional repressor
codY; transcriptional pleiotropic repressor
tenA; thiaminase (transcriptional activator TenA) [EC:3.5.99.2]
ctsR; transcriptional regulator of stress and heat shock response
troR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator
K03710; GntR family transcriptional regulator
fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator
marR; MarR family transcriptional regulator, multiple antibiotic resistance protein MarR
glnR; MerR family transcriptional regulator, glutamine synthetase repressor
XYLT; glycoprotein 2-beta-D-xylosyltransferase [EC:2.4.2.38]
MGD; 1,2-diacylglycerol 3-beta-galactosyltransferase [EC:2.4.1.46]
splB; spore photoproduct lyase [EC:4.1.99.14]
nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA
asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA
lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
trpR; TrpR family transcriptional regulator, trp operon repressor
tyrR; transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport
dinG; ATP-dependent DNA helicase DinG [EC:3.6.4.12]
mfd; transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]
lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]
K03725; archaea-specific helicase [EC:3.6.4.-]
helS; helicase [EC:3.6.4.-]
helY; ATP-dependent RNA helicase HelY [EC:3.6.4.-]
E2.4.1.216; trehalose 6-phosphate phosphorylase [EC:2.4.1.216]
rhlB; ATP-dependent RNA helicase RhlB [EC:3.6.4.13]
xerC; integrase/recombinase XerC
apbE; FAD:protein FMN transferase [EC:2.7.1.180]
eutB; ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]
eutC; ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]
por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]
aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
dltB; membrane protein involved in D-alanine export
dltD; D-alanine transfer protein
ARSC2, arsC; arsenate reductase [EC:1.20.4.1]
pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]
pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]
lemA; LemA protein
slyX; SlyX protein
hns; DNA-binding protein H-NS
smg; Smg protein
sanA; SanA protein
dedD; DedD protein
moeA; molybdopterin molybdotransferase [EC:2.10.1.1]
mobA; molybdenum cofactor guanylyltransferase [EC:2.7.7.77]
mobB; molybdopterin-guanine dinucleotide biosynthesis adapter protein
EIF2B2; translation initiation factor eIF-2B subunit beta
adiY; AraC family transcriptional regulator, transcriptional activator of adiA
potE; putrescine:ornithine antiporter
cadB; cadaverine:lysine antiporter
arcD, lysl, lysP; arginine:ornithine antiporter / lysine permease
adiC; arginine:agmatine antiporter
eptA, pmrC; lipid A ethanolaminephosphotransferase [EC:2.7.8.43]
kgtP; MFS transporter, MHS family, alpha-ketoglutarate permease
proP; MFS transporter, MHS family, proline/betaine transporter
polC; DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]
metJ; MetJ family transcriptional regulator, methionine regulon repressor
cadC; transcriptional activator of cad operon
PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]
ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
ppiD; peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
surA; peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]
fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
fklB; FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]
slpA; FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]
slyD; FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]
aer; aerotaxis receptor
dld; D-lactate dehydrogenase (quinone) [EC:1.1.5.12]
ldhA; D-lactate dehydrogenase [EC:1.1.1.28]
ttdA; L(+)-tartrate dehydratase alpha subunit [EC:4.2.1.32]
ttdB; L(+)-tartrate dehydratase beta subunit [EC:4.2.1.32]
katE, CAT, catB, srpA; catalase [EC:1.11.1.6]
katG; catalase-peroxidase [EC:1.11.1.21]
punA, PNP; purine-nucleoside phosphorylase [EC:2.4.2.1]
deoD; purine-nucleoside phosphorylase [EC:2.4.2.1]
aroD; 3-dehydroquinate dehydratase I [EC:4.2.1.10]
aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]
surE; 5'-nucleotidase [EC:3.1.3.5]
aphA; acid phosphatase (class B) [EC:3.1.3.2]
rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]
rimJ; [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]
K03791; putative chitinase
PTR1; pteridine reductase [EC:1.5.1.33]
sirB; sirohydrochlorin ferrochelatase [EC:4.99.1.4]
cbiX; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
bax; Bax protein
E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]
ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]
htpX; heat shock protein HtpX [EC:3.4.24.-]
lplA, lplJ; lipoate---protein ligase [EC:6.3.1.20]
lipB; lipoyl(octanoyl) transferase [EC:2.3.1.181]
cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
rseC; sigma-E factor negative regulatory protein RseC
mukE; chromosome partition protein MukE
dsbG; thiol:disulfide interchange protein DsbG
ampD; N-acetyl-anhydromuramoyl-L-alanine amidase [EC:3.5.1.28]
ampE; AmpE protein
pqiA; paraquat-inducible protein A
wrbA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
mviM; virulence factor
pnuC; nicotinamide mononucleotide transporter
rmf; ribosome modulation factor
modD; molybdenum transport protein [EC:2.4.2.-]
mtgA; monofunctional glycosyltransferase [EC:2.4.1.129]
xapA; xanthosine phosphorylase [EC:2.4.2.-]
xpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
rimL; ribosomal-protein-serine acetyltransferase [EC:2.3.1.-]
wcaF; putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]
wcaB; putative colanic acid biosynthesis acetyltransferase WcaB [EC:2.3.1.-]
lnt; apolipoprotein N-acyltransferase [EC:2.3.1.-]
phbC, phaC; polyhydroxyalkanoate synthase [EC:2.3.1.-]
K03822; putative long chain acyl-CoA synthase [EC:6.2.1.-]
pat; phosphinothricin acetyltransferase [EC:2.3.1.183]
yhbS; putative acetyltransferase [EC:2.3.1.-]
yhhY; putative acetyltransferase [EC:2.3.1.-]
yiaC; putative acetyltransferase [EC:2.3.1.-]
yjaB; putative acetyltransferase [EC:2.3.1.-]
yjgM; putative acetyltransferase [EC:2.3.1.-]
yedL; putative acetyltransferase [EC:2.3.1.-]
yafP; putative acetyltransferase [EC:2.3.1.-]
mogA; molybdopterin adenylyltransferase [EC:2.7.7.75]
tonB; periplasmic protein TonB
selB, EEFSEC; selenocysteine-specific elongation factor
tyrP; tyrosine-specific transport protein
mtr; tryptophan-specific transport protein
tnaB; low affinity tryptophan permease
sdaC; serine transporter
tdcC; threonine transporter
fldA, nifF, isiB; flavodoxin I
fldB; flavodoxin II
FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]
ALG1; beta-1,4-mannosyltransferase [EC:2.4.1.142]
ALG2; alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.132 2.4.1.257]
ALG11; alpha-1,2-mannosyltransferase [EC:2.4.1.131]
ALG3; alpha-1,3-mannosyltransferase [EC:2.4.1.258]
ALG9; alpha-1,2-mannosyltransferase [EC:2.4.1.259 2.4.1.261]
ALG12; alpha-1,6-mannosyltransferase [EC:2.4.1.260]
ALG6; alpha-1,3-glucosyltransferase [EC:2.4.1.267]
ALG8; alpha-1,3-glucosyltransferase [EC:2.4.1.265]
ALG10; alpha-1,2-glucosyltransferase [EC:2.4.1.256]
tpa; taurine-pyruvate aminotransferase [EC:2.6.1.77]
xsc; sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]
fixX; ferredoxin like protein
AROA2, aroA; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
PIGA, GPI3; phosphatidylinositol glycan, class A [EC:2.4.1.198]
PIGH, GPI15; phosphatidylinositol glycan, class H
PIGC, GPI2; phosphatidylinositol glycan, class C
PIGQ, GPI1; phosphatidylinositol glycan, class Q
PIGP, GPI19, DSCR5; phosphatidylinositol glycan, class P
vanA; vanillate monooxygenase [EC:1.14.13.82]
vanB; vanillate monooxygenase ferredoxin subunit
BGLUT; UDP-glucose:tetrahydrobiopterin glucosyltransferase [EC:2.4.1.-]
RBX1, ROC1; RING-box protein 1 [EC:2.3.2.32]
CUL3; cullin 3
CUL2; cullin 2
VHL; von Hippel-Lindau disease tumor supressor
TCEB1; transcription elongation factor B, polypeptide 1
TCEB2; transcription elongation factor B, polypeptide 2
SKP2, FBXL1; F-box and leucine-rich repeat protein 1 (S-phase kinase-associated protein 2)
ND1; NADH-ubiquinone oxidoreductase chain 1 [EC:1.6.5.3]
ND2; NADH-ubiquinone oxidoreductase chain 2 [EC:1.6.5.3]
ND3; NADH-ubiquinone oxidoreductase chain 3 [EC:1.6.5.3]
ND4; NADH-ubiquinone oxidoreductase chain 4 [EC:1.6.5.3]
ND4L; NADH-ubiquinone oxidoreductase chain 4L [EC:1.6.5.3]
ND5; NADH-ubiquinone oxidoreductase chain 5 [EC:1.6.5.3]
ND6; NADH-ubiquinone oxidoreductase chain 6 [EC:1.6.5.3]
ndh; NADH dehydrogenase [EC:1.6.99.3]
MQCRA, qcrA, bfcA, petC; menaquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.-]
MQCRB, qcrB, bfcB, petB; menaquinol-cytochrome c reductase cytochrome b subunit
MQCRC, qcrC, bfcC, petD; menaquinol-cytochrome c reductase cytochrome b/c subunit
qcrC; ubiquinol-cytochrome c reductase cytochrome c subunit
qcrA; ubiquinol-cytochrome c reductase iron-sulfur subunit
qcrB; ubiquinol-cytochrome c reductase cytochrome b subunit
arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor
arsB; arsenical pump membrane protein
iucA; N2-citryl-N6-acetyl-N6-hydroxylysine synthase [EC:6.3.2.38]
iucC; aerobactin synthase [EC:6.3.2.39]
iucB; acetyl CoA:N6-hydroxylysine acetyl transferase [EC:2.3.1.102]
iucD; lysine N6-hydroxylase [EC:1.14.13.59]
TFPI; tissue factor pathway inhibitor
SERPINA5, PCI; protein C inhibitor
lat; L-lysine 6-transaminase [EC:2.6.1.36]
alkB; DNA oxidative demethylase [EC:1.14.11.33]
FAB2, SSI2, desA1; acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]
desA2; acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2]
mdaB; modulator of drug activity B
moxR; MoxR-like ATPase [EC:3.6.3.-]
mraZ; MraZ protein
cutA; periplasmic divalent cation tolerance protein
CES2; carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56]
yvaK; carboxylesterase [EC:3.1.1.1]
pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]
estA; putative tributyrin esterase [EC:3.1.1.-]
ygjK; putative isomerase
lpqC; polyhydroxybutyrate depolymerase
cpbD; chitin-binding protein
NDUFS1; NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:1.6.5.3 1.6.99.3]
NDUFS2; NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3]
NDUFS3; NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:1.6.5.3 1.6.99.3]
NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4
NDUFS5; NADH dehydrogenase (ubiquinone) Fe-S protein 5
NDUFS6; NADH dehydrogenase (ubiquinone) Fe-S protein 6
NDUFS7; NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:1.6.5.3 1.6.99.3]
NDUFS8; NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:1.6.5.3 1.6.99.3]
NDUFV1; NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.5.3 1.6.99.3]
NDUFV2; NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:1.6.5.3 1.6.99.3]
NDUFA1; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1
NDUFA2; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2
NDUFA4; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4
NDUFA5; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5
NDUFA6; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6
NDUFA7; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7
NDUFA8; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8
NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9
NDUFA10; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10
NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1
NDUFA11; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11
NDUFB1; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1
NDUFB2; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2
NDUFB3; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3
NDUFB4; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4
NDUFB5; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5
NDUFB6; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6
NDUFB7; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7
NDUFB8; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8
NDUFB9; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9
NDUFB10; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10
NDUFC2; NADH dehydrogenase (ubiquinone) 1 subunit C2
pspA; phage shock protein A
pspB; phage shock protein B
pspD; phage shock protein D
pspE; phage shock protein E
pspC; phage shock protein C
pspF; psp operon transcriptional activator
dedA; membrane-associated protein
ybaK, ebsC; Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]
engA, der; GTPase
engB; GTP-binding protein
obgE, cgtA; GTPase [EC:3.6.5.-]
murJ, mviN; putative peptidoglycan lipid II flippase
dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1]
SERPINA1, AAT; alpha-1-antitrypsin
MASP2; mannan-binding lectin serine protease 2 [EC:3.4.21.104]
SERPING1, C1INH; C1 inhibitor
CD46, MCP; membrane cofactor protein
nrfB; cytochrome c-type protein NrfB
nrfC; protein NrfC
nrfD; protein NrfD
nrfE; cytochrome c-type biogenesis protein NrfE
nrfF; formate-dependent nitrite reductase complex subunit NrfF
nrfG; formate-dependent nitrite reductase complex subunit NrfG
eutA; ethanolamine utilization protein EutA
eutD; phosphotransacetylase
eutE; aldehyde dehydrogenase
eutG; alcohol dehydrogenase
eutH; ethanolamine transporter
eutJ; ethanolamine utilization protein EutJ
eutK; ethanolamine utilization protein EutK
eutL; ethanolamine utilization protein EutL
eutM; ethanolamine utilization protein EutM
eutN; ethanolamine utilization protein EutN
eutP; ethanolamine utilization protein EutP
eutQ; ethanolamine utilization protein EutQ
eutS; ethanolamine utilization protein EutS
eutT; ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.17]
eutR; AraC family transcriptional regulator, ethanolamine operon transcriptional activator
bchE; anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]
E1.14.13.81, acsF, chlE; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]
bchJ; divinyl protochlorophyllide a 8-vinyl-reductase [EC:1.-.-.-]
chlL; light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]
chlN; light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7]
chlB; light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7]
chlG, bchG; chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]
fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]
glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
dnaK, HSPA9; molecular chaperone DnaK
hscA; molecular chaperone HscA
hscC; molecular chaperone HscC
yegD; hypothetical chaperone protein
dps; starvation-inducible DNA-binding protein
yscA, sctA; type III secretion protein A
yscB, sctB; type III secretion protein B
yscE, sctE; type III secretion protein E
yscG, sctG; type III secretion protein G
yscH, sctH; type III secretion protein H
yscI, sctI; type III secretion protein I
yscK, sctK; type III secretion protein K
yscM, sctM; type III secretion protein M
yscO, sctO; type III secretion protein O
yscP, sctP; type III secretion protein P
yscW, sctW; type III secretion protein W
yscX, sctX; type III secretion protein X
yscY, sctY; type III secretion protein Y
flhB2; flagellar biosynthesis protein
osmB; osmotically inducible lipoprotein OsmB
osmC; osmotically inducible protein OsmC
osmE; osmotically inducible lipoprotein OsmE
osmY; hyperosmotically inducible periplasmic protein
priA; primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]
priC; primosomal replication protein N''
nrdG; anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]
pflA, pflC, pflE; pyruvate formate lyase activating enzyme [EC:1.97.1.4]
pflX; putative pyruvate formate lyase activating enzyme [EC:1.97.1.4]
adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
mhpF; acetaldehyde dehydrogenase [EC:1.2.1.10]
divIVA; cell division initiation protein
tilS, mesJ; tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
lonB; ATP-dependent Lon protease [EC:3.4.21.53]
groEL, HSPD1; chaperonin GroEL
groES, HSPE1; chaperonin GroES
HSP90A, htpG; molecular chaperone HtpG
ibpA; molecular chaperone IbpA
ibpB; molecular chaperone IbpB
hscB, HSCB, HSC20; molecular chaperone HscB
hslO; molecular chaperone Hsp33
dsbD; thiol:disulfide interchange protein DsbD [EC:1.8.1.8]
tusA, sirA; tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]
clpL; ATP-dependent Clp protease ATP-binding subunit ClpL
hflC; membrane protease subunit HflC [EC:3.4.-.-]
hflK; membrane protease subunit HflK [EC:3.4.-.-]
E1.2.7.8; indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]
ssuD; alkanesulfonate monooxygenase [EC:1.14.14.5]
tyrA1; chorismate mutase [EC:5.4.99.5]
pheA1; chorismate mutase [EC:5.4.99.5]
trmFO, gid; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]
fic; cell filamentation protein
smf; DNA processing protein
HPGDS; prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18]
chqB; hydroxyquinol 1,2-dioxygenase [EC:1.13.11.37]
desB, galA; gallate dioxygenase [EC:1.13.11.57]
ligA; protocatechuate 4,5-dioxygenase, alpha chain [EC:1.13.11.8]
ligB; protocatechuate 4,5-dioxygenase, beta chain [EC:1.13.11.8]
pht5; 4,5-dihydroxyphthalate decarboxylase [EC:4.1.1.55]
ipdC; indolepyruvate decarboxylase [EC:4.1.1.74]
hbaA; 4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]
hcrC, hbaB; 4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.3.7.9]
hcrA, hbaC; 4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.3.7.9]
hcrB, hbaD; 4-hydroxybenzoyl-CoA reductase subunit beta [EC:1.3.7.9]
badA; benzoate-CoA ligase [EC:6.2.1.25]
bcrC, badD; benzoyl-CoA reductase subunit C [EC:1.3.7.8]
bcrB, badE; benzoyl-CoA reductase subunit B [EC:1.3.7.8]
bcrA, badF; benzoyl-CoA reductase subunit A [EC:1.3.7.8]
bcrD, badG; benzoyl-CoA reductase subunit D [EC:1.3.7.8]
aliA; cyclohexanecarboxylate-CoA ligase [EC:6.2.1.-]
aliB; cyclohexanecarboxyl-CoA dehydrogenase [EC:1.3.99.-]
E1.3.1.62; pimeloyl-CoA dehydrogenase [EC:1.3.1.62]
E5.5.1.13; ent-copalyl diphosphate synthase [EC:5.5.1.13]
E4.2.3.19; ent-kaurene synthase [EC:4.2.3.19]
GA3, CYP701; ent-kaurene oxidase [EC:1.14.13.78]
KAO; ent-kaurenoic acid hydroxylase [EC:1.14.13.79]
E1.14.11.15; gibberellin 3-beta-dioxygenase [EC:1.14.11.15]
E1.14.11.13; gibberellin 2-oxidase [EC:1.14.11.13]
PCBC; isopenicillin-N synthase [EC:1.21.3.1]
cefD; isopenicillin-N epimerase [EC:5.1.1.17]
cmcH; hydroxymethyl cephem carbamoyltransferase [EC:2.1.3.7]
CHRM3; muscarinic acetylcholine receptor M3
CHRMN; muscarinic acetylcholine receptor
ADRA1B; adrenergic receptor alpha-1B
DRD1N, DopR; dopamine D1-like receptor
HTR1; 5-hydroxytryptamine receptor 1
HTR2; 5-hydroxytryptamine receptor 2
HTR7; 5-hydroxytryptamine receptor 7
Oamb; Octopamine receptor
GRPR; gastrin-releasing peptide receptor
CCKLR; cholecystokinin-like receptor
